"","month","Richemont_monthly_return","Kering_monthly_return","LVMH_monthly_return"
"1",2015-05-01,-3.50564468211527,-1.50861554797771,-2.64184929450616
"2",2015-06-01,-2.12355212355213,-1.44615080286733,-3.94254278728606
"3",2015-07-01,1.27504553734063,0.342855009302282,1.24555160142348
"4",2015-08-01,-0.890410958904117,-2.1147093865806,-1.52368333885391
"5",2015-09-01,2.71370420624152,4.09983057303374,4.56887667468222
"6",2015-10-01,0.77243018419488,0.178300098395312,0.325347530316464
"7",2015-11-01,0.195185426154855,1.0503606287862,1.79544725873678
"8",2015-12-01,-0.961538461538465,-0.372552787315945,-0.406091370558372
"9",2016-01-01,1.68841135840367,2.44465854246407,3.13152400835073
"10",2016-02-01,0.472440944881885,-0.741193673276516,0.391644908616203
"11",2016-03-01,-0.935307872174604,-2.57364361289731,-2.58899676375405
"12",2016-04-01,-1.77059276366437,-0.762590228811906,-2.87817938420349
"13",2016-05-01,-0.678541136556413,-1.12397963383156,-0.928473177441537
"14",2016-06-01,0.353669319186566,0.344946275433436,0.184162062615101
"15",2016-07-01,1.72562553925798,6.18749760797558,0.0326051516139624
"16",2016-08-01,-2.57953568357696,0.740959736516673,-1.97092084006463
"17",2016-09-01,-0.168634064080935,1.21195132575595,0.729927007299285
"18",2016-10-01,-1.77469135802469,-0.955878441568584,-1.42899672521582
"19",2016-11-01,1.91717791411043,0.318083104423197,0.556368960468515
"20",2016-12-01,-0.295639320029568,-0.0702755552437721,1.11482720178372
"21",2017-01-01,0.458415193189271,-1.89351615760091,1.22050447518308
"22",2017-02-01,-0.604432505036941,-0.541125156549033,-0.210692652093761
"23",2017-03-01,1.47341447789879,0.476586187198897,1.45391818629866
"24",2017-04-01,-1.24703087885985,0.176025221496864,0.265604249667992
"25",2017-05-01,0.372670807453413,-0.169548875068413,0.198500220555808
"26",2017-06-01,0.50890585241731,-0.367528321029082,0.0229095074455951
"27",2017-07-01,0.305250305250305,0.698587496027746,-0.211118930330761
"28",2017-08-01,0.823045267489715,1.00913583651863,0.639707562257256
"29",2017-09-01,1.3745704467354,0.762333277938918,1.14818024263431
"30",2017-10-01,-0.108577633007594,-0.75661986484885,0.451068837026881
"31",2017-11-01,0.593824228028504,-0.837993438220548,-0.244798041615665
"32",2017-12-01,-0.674915635545566,-0.16511784581447,-0.96852300242131
"33",2018-01-01,-0.490196078431386,0.641661224006834,0.457347385166039
"34",2018-02-01,-0.998810939357894,-1.17167016502584,-0.182223122089487
"35",2018-03-01,1.22757318224741,1.17096791088443,2.5830258302583
"36",2018-04-01,0.65999574196296,0.60834585883025,1.72292545710268
"37",2018-05-01,-0.286975717439284,0.410088158691903,-0.834585211150058
"38",2018-06-01,1.71704957678356,1.46873686746861,1.85714285714285
"39",2018-07-01,-0.548696844993146,-1.61812297734628,0.066968022769143
"40",2018-08-01,-2.21360109539023,-2.98507339939436,-2.56368913253791
"41",2018-09-01,0.351229302558958,-0.495687024346762,-0.991386315618383
"42",2018-10-01,2.96172115115955,4.65301773889984,3.40450086555108
"43",2018-11-01,-1.15712545676006,-1.20916183674511,-1.53996101364522
"44",2018-12-01,3.41431385423506,3.11284046692607,2.26583046732753
"45",2019-01-01,-0.955414012738849,1.20287123614756,0.774495677233421
"46",2019-02-01,0.157232704402522,-0.270043167729556,-0.132275132275125
"47",2019-03-01,1.82277061132924,1.54946730336095,1.17247763036099
"48",2019-04-01,-0.0268384326355287,0.380952380952381,1.07137686405096
"49",2019-05-01,-0.432082095598174,1.05183388404167,0.118273211117692
"50",2019-06-01,0.169286577992746,0.872769630154872,1.61531152436541
"51",2019-07-01,-0.535755881667824,-0.392490947185801,0.213618157543394
"52",2019-08-01,0.287281274484198,1.1599833977646,0.290577002905757
"53",2019-09-01,0.24644030668126,0.602471822048193,1.24947938359017
"54",2019-10-01,0.492100492100486,-0.137009531770474,-0.507218103784625
"55",2019-11-01,-0.755798801146727,-0.942201843993709,0.135218192993242
"56",2019-12-01,-0.627123072903062,-0.744883074849151,-0.718390804597701
"57",2020-01-01,-1.99778024417314,-1.10477763224706,-0.902481825018793
"58",2020-02-01,-0.939109360799743,-1.15302409093454,0.27037988373665
"59",2020-03-01,1.8426103646833,-1.16303345867415,-3.3
"60",2020-04-01,-2.49021700462469,-3.41064111316234,-2.04280155642024
"61",2020-05-01,-1.58506516379006,-2.3599138819918,-3.05067218200621
"62",2020-06-01,0.0662251655629125,0.623376623376623,0.256739409499358
"63",2020-07-01,-1.70494084899095,-2.20259966891596,-1.89915741607597
"64",2020-08-01,-0.59880239520958,-0.329268302774532,-0.895673016273498
"65",2020-09-01,-0.290885585003232,-1.56087415557974,-2.57348457128918
"66",2020-10-01,-1.10079119367045,-0.326799724555648,-0.37147102526003
"67",2020-11-01,-1.69314925761917,-0.197956480182516,-2.64112903225807
"68",2020-12-01,-0.521739130434785,1.81818181818182,0.058502340093617
"69",2021-01-01,-1.49750415973378,-2.57241377947354,-3.61702127659574
"70",2021-02-01,-1.01717902350814,-0.455141937126162,-1.12994350282486
"71",2021-03-01,-1.98747029596025,-0.304886306519133,-0.941586748038357
"72",2021-04-01,-0.425350914504472,1.50777106033661,-1.49441560484505
"73",2021-05-01,0.32021957913999,-0.0667735053620543,-0.579444952729484
"74",2021-06-01,-0.797518830305708,-2.30647187844096,-1.88427299703265
"75",2021-07-01,-0.812312954253957,-0.513085581393496,-1.47660818713451
"76",2021-08-01,-1.17416829745597,0.357359216990463,0.287999999999993
"77",2021-09-01,-0.469963220269712,-0.0973038614488777,-0.863309352517982
