"","Close","CHF_EUR","CHF_USD","CHF_CNY"
"Close",1,0.840415023932528,0.822508851407818,0.875247680639339
"CHF_EUR",0.840415023932528,1,0.688115179813989,0.817585119850989
"CHF_USD",0.822508851407818,0.688115179813989,1,0.81282511585199
"CHF_CNY",0.875247680639339,0.817585119850989,0.81282511585199,1
