"","Close","CHF_EUR","CHF_USD","CHF_CNY"
"Close",1,0.406388390826201,0.528770397709903,0.602401202433463
"CHF_EUR",0.406388390826201,1,0.687735688493306,0.818034996000129
"CHF_USD",0.528770397709903,0.687735688493306,1,0.811530435062263
"CHF_CNY",0.602401202433463,0.818034996000129,0.811530435062263,1
