"","Close","CHF_EUR","CHF_USD","CHF_CNY"
"Close",1,0.726810848619241,0.668994353731211,0.633213885659703
"CHF_EUR",0.726810848619241,1,0.700403892376221,0.82649023232168
"CHF_USD",0.668994353731211,0.700403892376221,1,0.813119371232973
"CHF_CNY",0.633213885659703,0.82649023232168,0.813119371232973,1
