"","Close","CHF_EUR","CHF_USD","CHF_CNY"
"Close",1,0.73234636022524,0.762059358753127,0.799927906654482
"CHF_EUR",0.73234636022524,1,0.688115179813989,0.817585119850989
"CHF_USD",0.762059358753127,0.688115179813989,1,0.81282511585199
"CHF_CNY",0.799927906654482,0.817585119850989,0.81282511585199,1
