"","Richemont_monthly_return","Kering_monthly_return","LVMH_monthly_return"
"Richemont_monthly_return",1,0.655043401771929,0.680739994467547
"Kering_monthly_return",0.655043401771929,1,0.67842182658903
"LVMH_monthly_return",0.680739994467547,0.67842182658903,1
