"Variable","Coefficient"
"(Intercept)",-196718.220554618
"EUR_CHF",244270.262824888
"USD_CHF",14152.8633863619
"CNY_CHF",295.014519595819
"EUR_squared",-57034.0886645208
"USD_squared",-4533.21969061466
"EUR_USD",1982.10213905507
"EUR_CNY",228.886857913874
"log_EUR",-133846.31691507
"log_USD",-7222.3824859558
"log_CNY",-2911.76470751998
