"Model","R_squared","Adj_R_squared","AIC","RMSE","RSE"
"Linear",0.107273398825213,0.106206394919427,23822.1542993798,27.5767005157284,27.5986652348743
"Log-Transformed",0.104938047695378,0.103868252533261,771.300776673277,0.281527178715545,0.28175141385959
"Quadratic",0.10820309759671,0.106068761172929,23825.5348181364,27.5623373820485,27.6007900886732
"Interaction",0.109174993366618,0.107042982979781,23822.7935231985,27.5473143305845,27.5857460782831
"Polynomial",0.10914308223656,0.105941120471436,23828.8835780842,27.5478077260614,27.6027605190076
"Complex",0.110602282767706,0.107048955891029,23826.7623351061,27.5252371824155,27.5856538188096
