"","GC=F.Open","GC=F.High","GC=F.Low","GC=F.Close","GC=F.Volume","GC=F.Adjusted"
"187",1132.19995117188,1134.40002441406,1124.30004882812,1127.09997558594,2417,1127.09997558594
"188",1124.30004882812,1126,1112.09997558594,1115.5,865,1115.5
"189",1115.19995117188,1119,1113.30004882812,1114.19995117188,1181,1114.19995117188
"190",1112.19995117188,1141.19995117188,1105.80004882812,1137.09997558594,323,1137.09997558594
"191",1137.09997558594,1141.69995117188,1132.5,1138.09997558594,226,1138.09997558594
"192",1136.30004882812,1150,1136.30004882812,1146.80004882812,145,1146.80004882812
"193",1147.59997558594,1152.90002441406,1143,1149,104,1149
"194",1142.69995117188,1146.69995117188,1138.69995117188,1144.69995117188,138,1144.69995117188
"195",1151.59997558594,1157.19995117188,1151.59997558594,1156.30004882812,22,1156.30004882812
"196",1155.90002441406,1166.80004882812,1155.90002441406,1164.90002441406,40,1164.90002441406
"197",1163.5,1166.19995117188,1154.90002441406,1165.80004882812,132,1165.80004882812
"198",1172.40002441406,1189,1167.30004882812,1180.09997558594,143,1180.09997558594
"199",1184.19995117188,1188.30004882812,1177.80004882812,1187.90002441406,143,1187.90002441406
"200",1182.5,1184.09997558594,1176.19995117188,1183.59997558594,243,1183.59997558594
"201",1176.5,1177.80004882812,1169.30004882812,1173.30004882812,62,1173.30004882812
"202",1168.69995117188,1179.09997558594,1168.69995117188,1178,19,1178
"203",1175.90002441406,1176.40002441406,1164.90002441406,1167.59997558594,41,1167.59997558594
"204",1166.19995117188,1168.59997558594,1163.5,1166.59997558594,48,1166.59997558594
"205",1166.19995117188,1178.69995117188,1163.30004882812,1163.30004882812,38,1163.30004882812
"206",1165.09997558594,1170,1163.80004882812,1167,176,1167
"207",1164.5,1166.80004882812,1162,1166.80004882812,302,1166.80004882812
"208",1175.09997558594,1182.69995117188,1175.09997558594,1177.09997558594,217,1177.09997558594
"209",1158,1162,1144.90002441406,1147.19995117188,329,1147.19995117188
"210",1147.5,1147.59997558594,1139.19995117188,1141.5,249,1141.5
"211",1137.90002441406,1138.69995117188,1132.59997558594,1135.80004882812,180,1135.80004882812
"212",1133.30004882812,1134.69995117188,1114.19995117188,1114.19995117188,185,1114.19995117188
"213",1119,1121.90002441406,1106.5,1106.5,141,1106.5
"214",1107.90002441406,1110.69995117188,1104.40002441406,1104.40002441406,84,1104.40002441406
"215",1105.19995117188,1109.5,1084.80004882812,1087.59997558594,78,1087.59997558594
"216",1088.59997558594,1088.59997558594,1087.90002441406,1087.90002441406,5,1087.90002441406
"217",1090.09997558594,1091.30004882812,1085,1088.19995117188,18,1088.19995117188
"218",1091.40002441406,1091.40002441406,1084.19995117188,1084.69995117188,15,1084.69995117188
"219",1086,1086.59997558594,1080.80004882812,1080.80004882812,4,1080.80004882812
"220",1083.09997558594,1085.90002441406,1080.80004882812,1080.80004882812,23,1080.80004882812
"221",1092,1092.40002441406,1083.69995117188,1083.69995117188,11,1083.69995117188
"222",1075.5,1075.80004882812,1065.09997558594,1068.69995117188,6,1068.69995117188
"223",1064,1071.90002441406,1064,1068.80004882812,5,1068.80004882812
