"","LUXU.PA.Open","LUXU.PA.High","LUXU.PA.Low","LUXU.PA.Close","LUXU.PA.Volume","LUXU.PA.Adjusted"
"1",103.858703613281,103.858703613281,103.858703613281,103.858703613281,0,103.858703613281
"2",101.438201904297,101.438201904297,101.438201904297,101.438201904297,0,101.438201904297
"3",100.281097412109,100.281097412109,100.281097412109,100.281097412109,0,100.281097412109
"4",101.232002258301,101.232002258301,101.232002258301,101.232002258301,0,101.232002258301
"5",103.375297546387,103.375297546387,103.375297546387,103.375297546387,0,103.375297546387
"6",102.546401977539,102.546401977539,102.546401977539,102.546401977539,0,102.546401977539
"7",102.697700500488,102.697700500488,102.697700500488,102.697700500488,0,102.697700500488
"8",103.128700256348,103.128700256348,103.128700256348,103.128700256348,0,103.128700256348
"9",101.923400878906,101.923400878906,101.923400878906,101.923400878906,0,101.923400878906
"10",101.420600891113,101.420600891113,101.420600891113,101.420600891113,0,101.420600891113
"11",101.482299804688,101.482299804688,101.482299804688,101.482299804688,0,101.482299804688
"12",102.11060333252,102.11060333252,102.11060333252,102.11060333252,0,102.11060333252
"13",101.971000671387,101.971000671387,101.971000671387,101.971000671387,0,101.971000671387
"14",102.863098144531,102.863098144531,102.863098144531,102.863098144531,0,102.863098144531
"15",103.658500671387,103.658500671387,103.658500671387,103.658500671387,0,103.658500671387
"16",104.33570098877,104.33570098877,104.33570098877,104.33570098877,0,104.33570098877
"17",105.366302490234,105.366302490234,105.366302490234,105.366302490234,0,105.366302490234
"18",105.357200622559,105.357200622559,105.357200622559,105.357200622559,0,105.357200622559
"19",104.832801818848,104.832801818848,104.832801818848,104.832801818848,0,104.832801818848
"20",105.638298034668,105.638298034668,105.638298034668,105.638298034668,0,105.638298034668
"21",103.871803283691,103.871803283691,103.871803283691,103.871803283691,0,103.871803283691
"22",104.320899963379,104.320899963379,104.320899963379,104.320899963379,0,104.320899963379
"23",105.958999633789,105.958999633789,105.958999633789,105.958999633789,0,105.958999633789
"24",106.181602478027,106.181602478027,106.181602478027,106.181602478027,0,106.181602478027
"25",106.646697998047,106.646697998047,106.646697998047,106.646697998047,0,106.646697998047
"26",105.961799621582,105.961799621582,105.961799621582,105.961799621582,0,105.961799621582
"27",104.803596496582,104.803596496582,104.803596496582,104.803596496582,0,104.803596496582
"28",106.306701660156,106.306701660156,106.306701660156,106.306701660156,0,106.306701660156
"29",106.070098876953,106.070098876953,106.070098876953,106.070098876953,0,106.070098876953
"30",107.009696960449,107.009696960449,107.009696960449,107.009696960449,0,107.009696960449
"31",107.755096435547,107.755096435547,107.755096435547,107.755096435547,0,107.755096435547
"32",107.598503112793,107.598503112793,107.598503112793,107.598503112793,0,107.598503112793
"33",107.622497558594,107.622497558594,107.622497558594,107.622497558594,0,107.622497558594
"34",108.05899810791,108.05899810791,108.05899810791,108.05899810791,0,108.05899810791
"35",108.783203125,108.783203125,108.783203125,108.783203125,0,108.783203125
"36",109.271797180176,109.271797180176,109.271797180176,109.271797180176,0,109.271797180176
"37",109.332000732422,109.332000732422,109.332000732422,109.332000732422,0,109.332000732422
"38",109.024696350098,109.024696350098,109.024696350098,109.024696350098,0,109.024696350098
"39",108.941398620605,108.941398620605,108.941398620605,108.941398620605,0,108.941398620605
"40",108.82039642334,108.82039642334,108.82039642334,108.82039642334,0,108.82039642334
"41",109.015899658203,109.015899658203,109.015899658203,109.015899658203,0,109.015899658203
"42",109.404800415039,109.404800415039,109.404800415039,109.404800415039,0,109.404800415039
"43",108.529899597168,108.529899597168,108.529899597168,108.529899597168,0,108.529899597168
"44",108.314598083496,108.314598083496,108.314598083496,108.314598083496,0,108.314598083496
"45",108.75520324707,108.75520324707,108.75520324707,108.75520324707,0,108.75520324707
"46",107.427200317383,107.427200317383,107.427200317383,107.427200317383,0,107.427200317383
"47",106.780296325684,106.780296325684,106.780296325684,106.780296325684,0,106.780296325684
"48",104.758399963379,104.758399963379,104.758399963379,104.758399963379,0,104.758399963379
"49",104.974601745605,104.974601745605,104.974601745605,104.974601745605,0,104.974601745605
"50",105.91919708252,105.91919708252,105.91919708252,105.91919708252,0,105.91919708252
"51",105.226699829102,105.226699829102,105.226699829102,105.226699829102,0,105.226699829102
"52",106.769096374512,106.769096374512,106.769096374512,106.769096374512,0,106.769096374512
"53",106.048698425293,106.048698425293,106.048698425293,106.048698425293,0,106.048698425293
"54",106.411399841309,106.411399841309,106.411399841309,106.411399841309,0,106.411399841309
"55",106.787200927734,106.787200927734,106.787200927734,106.787200927734,0,106.787200927734
"56",108.375602722168,108.375602722168,108.375602722168,108.375602722168,0,108.375602722168
"57",108.022201538086,108.022201538086,108.022201538086,108.022201538086,0,108.022201538086
"58",107.907203674316,107.907203674316,107.907203674316,107.907203674316,0,107.907203674316
"59",107.033599853516,107.033599853516,107.033599853516,107.033599853516,0,107.033599853516
"60",106.512199401855,106.512199401855,106.512199401855,106.512199401855,0,106.512199401855
"61",107.04630279541,107.04630279541,107.04630279541,107.04630279541,0,107.04630279541
"62",107.869003295898,107.869003295898,107.869003295898,107.869003295898,0,107.869003295898
"63",106.727096557617,106.727096557617,106.727096557617,106.727096557617,0,106.727096557617
"64",106.69889831543,106.69889831543,106.69889831543,106.69889831543,0,106.69889831543
"65",107.618202209473,107.618202209473,107.618202209473,107.618202209473,0,107.618202209473
"66",108.25830078125,108.25830078125,108.25830078125,108.25830078125,0,108.25830078125
"67",108.71900177002,108.71900177002,108.71900177002,108.71900177002,0,108.71900177002
"68",109.690200805664,109.690200805664,109.690200805664,109.690200805664,0,109.690200805664
